"type","dep","i-dep","fan-in","fan-out"
"io.kubernetes.client.openapi.models.V1PersistentVolumeStatus",27,1,1,9
"io.kubernetes.client.openapi.models.V1IngressLoadBalancerIngress",28,2,1,10
"io.kubernetes.client.openapi.models.V1LoadBalancerIngress",28,2,1,10
"io.kubernetes.client.openapi.models.V1PodFailurePolicyOnExitCodesRequirement",27,1,1,10
"io.kubernetes.client.openapi.models.DiscoveryV1EndpointPort",26,1,1,9
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscalerSpec",27,2,1,10
"io.kubernetes.client.openapi.models.V1WindowsSecurityContextOptions",26,1,2,9
"io.kubernetes.client.openapi.models.V1ResourceQuotaSpec",29,3,1,12
"io.kubernetes.client.openapi.models.V1ListMeta",26,1,69,9
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyStatus",29,3,1,11
"io.kubernetes.client.openapi.models.V1alpha2AllocationResult",29,3,1,11
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyStatus",29,3,1,11
"io.kubernetes.client.openapi.models.V1LabelSelectorRequirement",27,1,1,10
"io.kubernetes.client.openapi.models.V1NodeSelectorRequirement",27,1,1,10
"io.kubernetes.client.openapi.models.V1ScopedResourceSelectorRequirement",27,1,1,10
"io.kubernetes.client.openapi.models.V1ConfigMapProjection",28,2,1,10
